Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
494,TA266,2012/13,STA,Mannitol dry powder for inhalation,Pharmaceutical,Cystic fibrosis,Optimised,"Optimised recommendation for use in specific circumstances in people who cannot use rhDNase because of ineligibility, intolerance or inadequate response to rhDNase and whose lung function is rapidly declining (forced expiratory volume in 1 second [FEV1] decline greater than 2% annually) and for whom other osmotic agents are not considered appropriate."
495,TA267,2012/13,STA,Ivabradine,Pharmaceutical,Chronic heart failure,Recommended,Recommended in line with clinical practice.
496,TA268,2012/13,STA,Ipilimumab,Pharmaceutical,Previously treated advanced (unresectable or metastatic) melanoma  ,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
497,TA269,2012/13,STA,Vemurafenib,Pharmaceutical,Locally advanced or metastatic BRAF V600 mutation-positive malignant melanoma  ,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
498,TA270,2012/13,STA,Decitabine,Pharmaceutical,Acute myeloid leukaemia ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
499,TA271,2012/13,STA,Fluocinolone acetonide intravitreal implant,Medical device,Chronic diabetic macular oedema after an inadequate response to prior therapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
500,TA272,2012/13,STA,Vinflunine,Pharmaceutical,"Treatment of advanced or metastatic transitional cell carcinoma of the urothelial tract, after failure of a prior platinum containing regimen",Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
501,TA273,2012/13,STA,Tadalafil,Pharmaceutical,Hyperplasia (benign prostatic),Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
502,TA274,2012/13,STA,Ranibizumab,Pharmaceutical,Treatment of visual impairment due to diabetic macular oedema,Optimised,Update of guidance TA237. Optimised recommendation for use in specific circumstances for people with retinal thickness of 400 micrometres or more at the start of treatment and following agreement of patient access scheme.
503,TA275,2012/13,STA,Apixaban,Pharmaceutical,Prevention of stroke and systemic embolism in people with nonvalvular atrial fibrillation,Recommended,Recommended in line with marketing authorisation.
504,TA276,2012/13,MTA,Colistimethate sodium,Pharmaceutical,Pseudomonas lung infection in cystic fibrosis,Optimised,"Optimised recommendation for use in people with cystic fibrosis only if they would clinically benefit from continued colistimethate sodium but do not tolerate it in its nebulised form and thus tobramycin therapy would otherwise be considered, and following agreement of a patient access scheme."
505,TA276,2012/13,MTA,Tobramycin,Pharmaceutical,Pseudomonas lung infection in cystic fibrosis,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
506,TA277,2012/13,STA,Methylnaltrexone,Pharmaceutical,Treatment of opioid-induced bowel dysfunction in people with advanced illness receiving palliative care,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
507,TA278,2013/14,MTA,Omalizumab,Pharmaceutical,Add-on treatment for severe persistent allergic asthma,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
508,TA279,2013/14,MTA,Percutaneous vertebroplasty,Medical device,Vertebral compression fractures,Recommended,Recommended in line with clinical practice.
509,TA279,2013/14,MTA,Percutaneous balloon kyphoplasty (without stenting),Medical device,Vertebral compression fractures,Recommended,Recommended in line with clinical practice.
510,TA280,2013/14,STA,Abatacept in combination with methotrexate (2nd line),Pharmaceutical,Treatment of moderate to severe active rheumatoid arthritis after one or more conventional non-biological disease-modifying anti-rheumatic drugs including methotrexate,Optimised,"Update of guidance TA234. Optimised recommendation for use under specific circumstances in people who have not responded adequately to at least two DMARDs, including methotrexate (unless contraindicated) and following agreement of patient access scheme."
511,TA281,2013/14,STA,Canakinumab,Pharmaceutical,Gouty arthritis attacks,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
512,TA282,2013/14,STA,Pirfenidone,Pharmaceutical,Idiopathic pulmonary fibrosis,Optimised,"Optimised recommendation for use under specific circumstances in people who have a forced vital capacity (FVC) between 50% and 80% predicted, and following agreement of a patient access scheme."
513,TA283,2013/14,STA,Ranibizumab,Pharmaceutical,Visual impairment caused by macular oedema secondary to central retinal vein occlusion,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
514,TA283,2013/14,STA,Ranibizumab,Pharmaceutical,Visual impairment caused by macular oedema secondary to branch retinal vein occlusion,Optimised,"Optimised recommendation for treating visual impairment caused by macular oedema following branch retinal vein occlusion only if treatment with laser photocoagulation has not been beneficial, or when laser photocoagulation is not suitable because of the extent of macular haemorrhage, and following agreement of a patient access scheme."
515,TA284,2013/14,STA,Bevacizumab in combination with paclitaxel and carboplatin,Pharmaceutical,Advanced ovarian cancer (1st line),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
516,TA285,2013/14,STA,Bevacizumab in combination with gemcitabine and carboplatin,Pharmaceutical,First recurrence of platinum-sensitive advanced ovarian cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
517,TA286,2013/14,STA,Loxapine inhalation,Pharmaceutical,Acute agitation and disturbed behaviours associated with schizophrenia and bipolar disorder,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
518,TA287,2013/14,STA,Rivaroxaban,Pharmaceutical,Treating pulmonary embolism and preventing recurrent venous thromboembolism,Recommended,Recommended in line with marketing authorisation.
519,TA288,2013/14,STA,Dapagliflozin in a dual therapy regimen in combination with metformin ,Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with clinical practice.
520,TA288,2013/14,STA,Dapagliflozin in combination with insulin with or without other antidiabetic drugs ,Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with marketing authorisation.
521,TA288,2013/14,STA,Dapagliflozin in a triple therapy regimen in combination with metformin and a sulfonylurea ,Pharmaceutical,Type 2 diabetes,Only in Research,Only recommended as part of a clinical trial. 
522,TA289,2013/14,STA,Ruxolitinib,Pharmaceutical,Disease-related splenomegaly or symptoms in adults with myelofibrosis,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
523,TA290,2013/14,STA,Mirabegron,Pharmaceutical,Symptoms of overactive bladder,Optimised,"Optimised recommendation for treating the symptoms of overactive bladder only for people in whom antimuscarinic drugs are contraindicated or clinically ineffective, or have unacceptable side effects."
524,TA291,2013/14,STA,Pegloticase,Pharmaceutical,Severe debilitating chronic tophaceous gout,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
525,TA292,2013/14,STA,Aripiprazole,Pharmaceutical,Moderate to severe manic episodes in adolescents with bipolar I disorder,Recommended,Recommended in line with marketing authorisation.
526,TA293,2013/14,STA,Eltrombopag,Pharmaceutical,Chronic immune (idiopathic) thrombocytopenic purpura,Optimised,"Optimised recommendation for treating adults with chronic immune (idiopathic) thrombocytopenic purpura, within its marketing authorisation, only if: their condition is refractory to standard active treatments and rescue therapies, or they have severe disease and a high risk of bleeding that needs frequent courses of rescue therapies and the manufacturer provides eltrombopag with the discount agreed in the patient access scheme."
527,TA294,2013/14,STA,Aflibercept solution for injection,Pharmaceutical,Wet age‑related macular degeneration,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
528,TA295,2013/14,STA,Everolimus in combination with exemestane,Pharmaceutical,Advanced HER2-negative hormone-receptor-positive breast cancer after endocrine therapy,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
529,TA296,2013/14,STA,Crizotinib,Pharmaceutical,Previously treated non-small-cell lung cancer associated with an anaplastic lymphoma kinase fusion gene,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
530,TA297,2013/14,STA,Ocriplasmin,Pharmaceutical,Vitreomacular traction,Optimised,"Optimised recommendation for treating vitreomacular traction in adults, only if: an epiretinal membrane is not present and they have a stage II full-thickness macular hole with a diameter of 400 micrometres or less and/or they have severe symptoms."
531,TA298,2013/14,STA,Ranibizumab,Pharmaceutical,Choroidal neovascularisation associated with pathological myopia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
532,TA299,2013/14,STA,Bosutinib,Pharmaceutical,Previously treated chronic myeloid leukaemia,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available. Guidance has been replaced."
533,TA300,2013/14,MTA,Peginterferon alfa in combination with ribavirin ,Pharmaceutical,Chronic hepatitis C in children and young people,Recommended,Recommended in line with marketing authorisation.
534,TA301,2013/14,STA,Fluocinolone acetonide intravitreal implant ,Medical device,Chronic diabetic macular oedema after an inadequate response to prior therapy,Optimised,Optimised recommendation for treating chronic diabetic macular oedema that is insufficiently responsive to available therapies only if the implant is to be used in an eye with an intraocular (pseudophakic) lens and the manufacturer provides fluocinolone acetonide intravitreal implant with the discount agreed in the patient access scheme.
535,TA302,2013/14,STA,Canakinumab,Pharmaceutical,Systemic juvenile idiopathic arthritis,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
536,TA303,2013/14,STA,Teriflunomide,Pharmaceutical,Relapsing-remitting multiple sclerosis,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme
537,TA304,2013/14,MTA,Total hip replacement,Medical device,End-stage arthritis of the hip,Recommended,Recommended in line with clinical practice
538,TA304,2013/14,MTA,Resurfacing anthroplasty,Medical device,End-stage arthritis of the hip,Recommended,Recommended in line with clinical practice
539,TA305,2013/14,STA,Aflibercept solution for injection,Pharmaceutical,Visual impairment caused by macular oedema secondary to central retinal vein occlusion,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
540,TA306,2013/14,STA,Pixantrone monotherapy,Pharmaceutical,Multiply relapsed or refractory aggressive non-Hodgkin's B-cell lymphoma,Optimised,Optimised recommendation for treating adults with multiply relapsed or refractory aggressive non-Hodgkin's B‑cell lymphoma only if: the person has previously been treated with rituximab and the person is receiving third- or fourth-line treatment and the manufacturer provides pixantrone with the discount agreed in the patient access scheme.
541,TA307,2013/14,STA,Aflibercept in combination with irinotecan and fluorouracil-based therapy,Pharmaceutical,Metastatic colorectal cancer that has progressed following prior oxaliplatin-based chemotherapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
542,TA308,2013/14,STA,Rituximab in combination with glucocorticoids,Pharmaceutical,Anti-neutrophil cytoplasmic antibody-associated vasculitis,Optimised,"Optimised recommendation for inducing remission in adults with ANCA-associated vasculitis (severely active granulomatosis with polyangiitis [Wegener's] and microscopic polyangiitis), only if:
further cyclophosphamide treatment would exceed the maximum cumulative cyclophosphamide dose or
cyclophosphamide is contraindicated or not tolerated or
the person has not completed their family and treatment with cyclophosphamide may materially affect their fertility or
the disease has remained active or progressed despite a course of cyclophosphamide lasting 3–6 months or
the person has had uroepithelial malignancy.
"
543,TA309,2014/15,STA,Pemetrexed,Pharmaceutical,Maintenance treatment following induction therapy with pemetrexed and cisplatin for non-squamous non-small-cell lung cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
544,TA310,2014/15,STA,Afatinib,Pharmaceutical,Epidermal growth factor receptor mutation-positive locally advanced or metastatic non-small-cell lung cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
545,TA311,2014/15,STA,"Bortezomib in combination with dexamethasone, or with dexamethasone and thalidomide",Pharmaceutical,For induction therapy in multiple myeloma before high-dose chemotherapy and autologous stem cell transplantation,Recommended,Recommended in line with marketing authorisation.
546,TA312,2014/15,STA,Alemtuzumab,Pharmaceutical,Relapsing-remitting multiple sclerosis,Recommended,Recommended in line with marketing authorisation.
547,TA313,2014/15,STA,Ustekinumab alone or in combination with methotrexate,Pharmaceutical,Active psoriatic arthritis,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
548,TA314,2014/15,MTA,Implantable cardioverter defibrillators ,Medical device,Arrhythmias and heart failure,Optimised,"Optimised recommendation. The Committee looked at 20 subgroups of patients for all combinations of New York Heart Association (NYHA) class, QRS duration and presence of left bundle branch block (LBBB).  Please see table 1 in TA314 for the recommendations for each subgroup.      
The Committee also concluded that the recommendation in NICE technology appraisal guidance 95 regarding previous serious ventricular arrhythmia, certain familial cardiac conditions and after surgical repair of congenital heart disease did not need to be changed."
549,TA314,2014/15,MTA,Cardiac resynchronisation therapy (CRT-D and CRT-P),Medical device,Arrhythmias and heart failure,Optimised,"Optimised recommendation. The Committee looked at 20 subgroups of patients for all combinations of New York Heart Association (NYHA) class, QRS duration and presence of left bundle branch block (LBBB). Please see table 1 in TA314 for the recommendations for each subgroup."
550,TA315,2014/15,STA,Canagliflozin in combination with metformin (dual therapy),Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with marketing authorisation.
551,TA315,2014/15,STA,Canagliflozin in combination with metformin and a sulfonylurea/thiazolidinedione (triple therapy),Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with clinical practice.
552,TA315,2014/15,STA,Canagliflozin in combination with insulin with or without other antidiabetic drugs ,Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with clinical practice.
553,TA316,2014/15,STA,Enzalutamide,Pharmaceutical,Metastatic hormone-relapsed prostate cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
554,TA317,2014/15,MTA,Prasugrel in combination with aspirin,Pharmaceutical,Acute coronary syndromes,Recommended,Recommended in line with marketing authorisation
555,TA318,2014/15,STA,Lubiprostone,Pharmaceutical,Chronic idiopathic constipation,Recommended,Recommended in line with clinical practice
556,TA319,2014/15,STA,Ipilimumab,Pharmaceutical,Previously untreated advanced (unresectable or metastatic) melanoma,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
557,TA320,2014/15,STA,Dimethyl fumarate,Pharmaceutical,Relapsing-remitting multiple sclerosis,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme
558,TA321,2014/15,STA,Dabrafenib,Pharmaceutical,Unresectable or metastatic BRAF V600 mutation‑positive melanoma,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
559,TA322,2014/15,STA,Lenalidomide,Pharmaceutical,Myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
560,TA323,2014/15,MTA,"Erythropoiesis-stimulating agents (epoetin alfa, beta, theta and zeta, and darbepoetin alfa)",Pharmaceutical,Treating anaemia in people with cancer having chemotherapy ,Recommended,Recommended in line with marketing authorisation
561,TA324,2014/15,MTA,Dual chamber pacemakers,Medical device,Symptomatic bradycardia due to sick sinus syndrome without atrioventricular block ,Recommended,Recommended in line with clinical practice
562,TA325,2014/15,STA,Nalmefene,Pharmaceutical,Reducing alcohol consumption in people with alcohol dependence,Recommended,Recommended in line with marketing authorisation
563,TA326,2014/15,STA,Imatinib,Pharmaceutical,Adjuvant treatment of gastrointestinal stromal tumours ,Recommended,Recommended in line with clinical practice
564,TA327,2014/15,STA,Dabigatran etexilate,Pharmaceutical,treatment and secondary prevention of deep vein thrombosis and/or pulmonary embolism,Recommended,Recommended in line with marketing authorisation
565,TA328,2014/15,STA,Idelalisib,Pharmaceutical,follicular lymphoma that is refractory to 2 prior treatments,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
566,TA329,2014/15,MTA,Infliximab,Pharmaceutical,moderately to severely active ulcerative colitis after the failure of conventional therapy ,Recommended,Recommended in line with marketing authorisation
567,TA329,2014/15,MTA,Adalimumab,Pharmaceutical,moderately to severely active ulcerative colitis after the failure of conventional therapy ,Recommended,Recommended in line with marketing authorisation
568,TA329,2014/15,MTA,Golimumab,Pharmaceutical,moderately to severely active ulcerative colitis after the failure of conventional therapy ,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
569,TA330,2014/15,STA,Sofosbuvir,Pharmaceutical,Chronic hepatitis C,Optimised,Optimised recommendation. Sofosbuvir was recommended only for some groups depending on genotype combined with treatment history. 
570,TA331,2014/15,STA,Simeprevir in combination with peginterferon alfa and ribavirin,Pharmaceutical,Treating genotypes 1 and 4 chronic hepatitis C,Recommended,Recommended in line with marketing authorisation. Simeprevir also has a marketing authorisation for use in combination with sofosbuvir. Recommendations for simeprevir in combination with sofosbuvir will be developed in separate guidance.
571,TA332,2014/15,STA,Sipuleucel-T,Pharmaceutical,Treating asymptomatic or minimally symptomatic metastatic hormone-replased prostate cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available.  This guidance has been withdrawn after publication, because the marketing authorisation for sipuleucel-T was withdrawn on 19 May 2015."
572,TA333,2014/15,STA,Axitinib,Pharmaceutical,treating advanced renal cell carcinoma after failure of prior systemic treatment,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
573,TA334,2014/15,STA,Regorafenib,Pharmaceutical,Metastatic colorectal cancer after treatment for metastatic disease,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
574,TA335,2014/15,STA,Rivaroxaban in combination with aspirin plus clopidogrel or aspirin alone,Pharmaceutical,Preventing adverse outcomes after acute management of acute coronary syndrome,Recommended,Recommended in line with marketing authorisation.
575,TA336,2014/15,STA,Empagliflozin in a dual therapy regimen in combination with metformin,Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with clinical practice.
576,TA336,2014/15,STA,Empagliflozin in a triple therapy regimen in combination with metformin and either a sulfonylurea or a thiazolidinedione,Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with clinical practice.
577,TA336,2014/15,STA,Empagliflozin in combination with insulin with or without other antidiabetic drugs,Pharmaceutical,Type 2 diabetes,Recommended,Recommended in line with clinical practice.
578,TA337,2014/15,STA,Rifaximin,Pharmaceutical,Preventing episodes of overt hepatic encephalopathy,Recommended,Recommended in line with marketing authorisation.
579,TA338,2014/15,STA,Pomalidomide in combination with dexamethasone,Pharmaceutical,Relapsed and refractory multiple myeloma previously treated with lenalidomide and bortezomib,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
580,TA339,2015/16,STA,Omalizumab,Pharmaceutical,Previously treated chronic spontaneous urticaria,Optimised,"Optimised recommendation for omalizumab as an option as add‑on therapy for treating severe chronic spontaneous urticaria in adults and young people aged 12 years and over only if:
• the severity of the condition is assessed objectively, for example, using a weekly urticaria activity score of 28 or morethe person's condition has not responded to standard treatment with H1‑antihistamines and leukotriene receptor antagonists;
• omalizumab is stopped at or before the fourth dose if the condition has not responded;
• omalizumab is stopped at the end of a course of treatment (6 doses) if the condition has responded, to establish whether the condition has gone into spontaneous remission, and is restarted only if the condition relapses;
• omalizumab is administered under the management of a secondary care specialist in dermatology, immunology or allergy; 
and the company provides omalizumab with the discount agreed in the patient access scheme.
"
581,TA340,2015/16,STA,"Ustekinumab, alone or in combination with methotrexate",Pharmaceutical,Active psoriatic arthritis,Optimised,"Optimised recommendation for ustekinumab, alone or in combination with methotrexate, for treating active psoriatic arthritis in adults only when:

• treatment with tumour necrosis factor (TNF) alpha inhibitors is contraindicated but would otherwise be considered (as described in NICE technology appraisal guidance on etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis and golimumab for the treatment of psoriatic arthritis) or 

• the person has had treatment with 1 or more TNF‑alpha inhibitors. 

and if the company provides the 90 mg dose of ustekinumab for people who weigh more than 100 kg at the same cost as the 45 mg dose, as agreed in the patient access scheme.
"
582,TA341,2015/16,STA,Apixaban,Pharmaceutical,Treatment and secondary prevention of deep vein thrombosis and/or pulmonary embolism,Recommended,Recommended in line with marketing authorisation
583,TA342,2015/16,STA,Vedolizumab,Pharmaceutical,Moderately to severely active ulcerative colitis,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
584,TA343,2015/16,STA,Obinutuzumab in combination with chlorambucil,Pharmaceutical,Untreated chronic lymphocytic leukaemia,Optimised,"Optimised recommendation for obinutuzumab in combination with chlorambucil as an option for adults with untreated chronic lymphocytic leukaemia who have comorbidities that make full‑dose fludarabine‑based therapy unsuitable for them, only if: bendamustine‑based therapy is not suitable 

and the company provides obinutuzumab with the discount agreed in the patient access scheme.
"
585,TA344,2015/16,STA,Ofatumumab in combination with chlorambucil,Pharmaceutical,Untreated chronic lymphocytic leukaemia,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
586,TA345,2015/16,STA,Naloxegol ,Pharmaceutical,Opioid‑induced constipation,Recommended,Recommended in line with marketing authorisation.
587,TA346,2015/16,STA,Aflibercept,Pharmaceutical,Diabetic macular oedema,Optimised,"Optimised recommendation for aflibercept solution for injection as an option for treating visual impairment caused by diabetic macular oedema only if the eye has a central retinal thickness of 400 micrometres or more at the start of treatment and the company provides aflibercept with the discount agreed in the patient access scheme.

"
588,TA347,2015/16,STA,Nintedanib in combination with docetaxel ,Pharmaceutical,"Locally advanced, metastatic, or locally recurrent non‑small‑cell lung cancer",Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
589,TA348,2015/16,STA,Everolimus,Pharmaceutical,Preventing organ rejection in liver transplantation,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
590,TA349,2015/16,STA,Dexamethasone intravitreal implant ,Pharmaceutical,Diabetic macular oedema,Optimised,"Optimised recommendation for dexamethasone intravitreal implant as an option for treating diabetic macular oedema only if:
the implant is to be used in an eye with an intraocular (pseudophakic) lens and
the diabetic macular oedema does not respond to non‑corticosteroid treatment, or such treatment is unsuitable.

"
591,TA350,2015/16,STA,Secukinumab,Pharmaceutical,Moderate to severe plaque psoriasis,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
592,TA351,2015/16,STA,Cangrelor,Pharmaceutical,Reducing atherothrombotic events in people undergoing percutaneous coronary intervention or awaiting surgery requiring interruption of anti‑platelet therapy ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
593,TA352,2015/16,STA,Vedolizumab,Pharmaceutical,Treating moderately to severely active Crohn's disease after prior therapy,Optimised,"Optimised recommendation for vedolizumab for treating moderately to severely active Crohn's disease only if:
a tumour necrosis factor‑alpha inhibitor has failed (that is, the disease has responded inadequately or has lost response to treatment) or 
a tumour necrosis factor‑alpha inhibitor cannot be tolerated or is contraindicated.

Vedolizumab is recommended only if the company provides it with the discount agreed in the patient access scheme.

"
594,TA353,2015/16,STA,Bevacizumab,Pharmaceutical,"Treating relapsed, platinum‑resistant epithelial ovarian, fallopian tube or primary peritoneal cancer",Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
595,TA354,2015/16,STA,Edoxaban,Pharmaceutical,Treating and preventing deep vein thrombosis and pulmonary embolism,Recommended,Recommended in line with marketing authorisation.
596,TA355,2015/16,STA,Edoxaban,Pharmaceutical,Preventing stroke and systemic embolism in people with non‑valvular atrial fibrillation,Recommended,Recommended in line with marketing authorisation.
597,TA356,2015/16,STA,Ruxolitinib,Pharmaceutical,Treating polycythaemia vera ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
598,TA357,2015/16,STA,Pembrolizumab,Pharmaceutical,Treating advanced melanoma after disease progression with ipilimumab,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
599,TA358,2015/16,STA,Tolvaptan,Pharmaceutical,Treating autosomal dominant polycystic kidney disease,Optimised,"Optimised recommendation for tolvaptan as an option for treating autosomal dominant polycystic kidney disease (ADPKD) in adults to slow the progression of cyst development and renal insufficiency only if:
• they have chronic kidney disease stage 2 or 3 at the start of treatment
• there is evidence of rapidly progressing disease and
• the company provides it with the discount agreed in the patient access scheme.
"
600,TA359,2015/16,STA,Idelalisib in combination with rituximab,Pharmaceutical,Treating chronic lymphocytic leukaemia,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme. Note: no evidence presented for population not recommended.
601,TA360,2015/16,STA,Paclitaxel as albumin‑bound nanoparticles in combination with gemcitabine,Pharmaceutical,Previously untreated metastatic pancreatic cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
602,TA361,2015/16,STA,Simeprevir in combination with sofosbuvir,Pharmaceutical,Treating genotype 1 or 4 chronic hepatitis C,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
603,TA362,2015/16,STA,Paclitaxel as albumin-bound nanoparticles with carboplatin,Pharmaceutical,Untreated non-small-cell lung cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
604,TA363,2015/16,STA,Ledipasvir–sofosbuvir,Pharmaceutical,Chronic hepatitis C,Optimised,"Optimised recommendation for ledipasvir–sofosbuvir for treating chronic hepatitis C based on HCV genotype, liver disease stage, duration and treatment history. Please see the final guidance section 1 for the detailed recommendations."
605,TA363,2015/16,STA,Ledipasvir–sofosbuvir plus ribavirin,Pharmaceutical,Chronic hepatitis C,Optimised,"Optimised recommendation for ledipasvir–sofosbuvir plus ribavirin for treating chronic hepatitis C based on HCV genotype, liver disease stage, duration and treatment history. Please see the final guidance section 1 for the detailed recommendations."
606,TA364,2015/16,STA,Daclatasvir plus sofosbuvir,Pharmaceutical,Chronic hepatitis C,Optimised,"Optimised recommendation for daclatasvir plus sofosbuvir for treating chronic hepatitis C based on HCV genotype, liver disease stage, duration and treatment history and only if the company provides daclatasvir at the same price or lower than that agreed with the Commercial Medicines Unit. Please see the final guidance section 1 for the detailed recommendations."
607,TA364,2015/16,STA,Daclatasvir plus sofosbuvir and ribavirin,Pharmaceutical,Chronic hepatitis C,Optimised,"Optimised recommendation for daclatasvir plus sofosbuvir and ribavirin for treating chronic hepatitis C based on HCV genotype, liver disease stage, duration and treatment history and only if the company provides daclatasvir at the same price or lower than that agreed with the Commercial Medicines Unit. Please see the final guidance section 1 for the detailed recommendations."
608,TA364,2015/16,STA,Daclatasvir plus peginterferon alfa and ribavirin,Pharmaceutical,Chronic hepatitis C,Optimised,"Optimised recommendation for daclatasvir plus peginterferon alfa and ribavirin for treating chronic hepatitis C based on HCV genotype, liver disease stage, duration and treatment history and only if the company provides daclatasvir at the same price or lower than that agreed with the Commercial Medicines Unit. Please see the final guidance section 1 for the detailed recommendations."
609,TA365,2015/16,STA,Ombitasvir–paritaprevir–ritonavir with dasabuvir and ribavirin,Pharmaceutical,Chronic hepatitis C,Recommended,Recommended in line with marketing authorisation and only if only if the company provides ombitasvir–paritaprevir–ritonavir and dasabuvir at the same price or lower than that agreed with the Commercial Medicines Unit
610,TA365,2015/16,STA,Ombitasvir–paritaprevir–ritonavir with ribavirin,Pharmaceutical,Chronic hepatitis C,Recommended,Recommended in line with marketing authorisation and only if only if the company provides ombitasvir–paritaprevir–ritonavir and ribavirin at the same price or lower than that agreed with the Commercial Medicines Unit
611,TA366,2015/16,STA,Pembrolizumab,Pharmaceutical,Advanced melanoma not previously treated with ipilimumab,Recommended,"Recommended in line with marketing authorisation and following agreement of patient access scheme. Note: The MA was appraised across 2 separate appraisals, both recommended (see TA357)."
